Year,Population,Metro Area
2003-12-31 00:00:00,3896671,"Philadelphia, PA"
1991-12-31 00:00:00,3888584,"Houston-Baytown-Sugar Land, TX"
2005-12-31 00:00:00,3884588,"Phoenix-Mesa-Scottsdale, AZ"
2002-12-31 00:00:00,3882567,"Philadelphia, PA"
1998-12-31 00:00:00,3872031,"Atlanta-Sandy Springs-Marietta, GA"
1970-12-31 00:00:00,3872006,"Philadelphia, PA"
1971-12-31 00:00:00,3868700,"Philadelphia, PA"
2001-12-31 00:00:00,3868053,"Philadelphia, PA"
2005-12-31 00:00:00,3861335,"Riverside-San Bernardino-Ontario, CA"
2000-12-31 00:00:00,3852150,"Philadelphia, PA"
1972-12-31 00:00:00,3838200,"Philadelphia, PA"
2001-12-31 00:00:00,3832005,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2004-12-31 00:00:00,3814731,"Dallas-Plano-Irving, TX"
1973-12-31 00:00:00,3804500,"Philadelphia, PA"
1990-12-31 00:00:00,3789490,"Houston-Baytown-Sugar Land, TX"
1974-12-31 00:00:00,3781500,"Philadelphia, PA"
1975-12-31 00:00:00,3761700,"Philadelphia, PA"
1997-12-31 00:00:00,3756986,"Atlanta-Sandy Springs-Marietta, GA"
2000-12-31 00:00:00,3747146,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
1988-12-31 00:00:00,3746589,"Philadelphia, PA"
2004-12-31 00:00:00,3745320,"Riverside-San Bernardino-Ontario, CA"
1976-12-31 00:00:00,3744600,"Philadelphia, PA"
2003-12-31 00:00:00,3741111,"Dallas-Plano-Irving, TX"
1989-12-31 00:00:00,3740475,"Philadelphia, PA"
1987-12-31 00:00:00,3734722,"Philadelphia, PA"
1994-12-31 00:00:00,3732387,"Philadelphia, PA"
1993-12-31 00:00:00,3731939,"Philadelphia, PA"
1991-12-31 00:00:00,3731050,"Philadelphia, PA"
1990-12-31 00:00:00,3729507,"Philadelphia, PA"
1992-12-31 00:00:00,3728202,"Philadelphia, PA"
1995-12-31 00:00:00,3726841,"Philadelphia, PA"
2004-12-31 00:00:00,3723359,"Phoenix-Mesa-Scottsdale, AZ"
1977-12-31 00:00:00,3722300,"Philadelphia, PA"
1996-12-31 00:00:00,3718140,"Philadelphia, PA"
1999-12-31 00:00:00,3707238,"Philadelphia, PA"
1997-12-31 00:00:00,3707221,"Philadelphia, PA"
1998-12-31 00:00:00,3706865,"Philadelphia, PA"
1986-12-31 00:00:00,3706766,"Philadelphia, PA"
1978-12-31 00:00:00,3698100,"Philadelphia, PA"
1979-12-31 00:00:00,3689600,"Philadelphia, PA"
1989-12-31 00:00:00,3686228,"Houston-Baytown-Sugar Land, TX"
1986-12-31 00:00:00,3683159,"Houston-Baytown-Sugar Land, TX"
1980-12-31 00:00:00,3682450,"Philadelphia, PA"
1985-12-31 00:00:00,3681832,"Philadelphia, PA"
1981-12-31 00:00:00,3679300,"Philadelphia, PA"
1984-12-31 00:00:00,3676514,"Philadelphia, PA"
1982-12-31 00:00:00,3674079,"Philadelphia, PA"
1983-12-31 00:00:00,3673685,"Philadelphia, PA"
2002-12-31 00:00:00,3672017,"Dallas-Plano-Irving, TX"
1996-12-31 00:00:00,3652439,"Atlanta-Sandy Springs-Marietta, GA"
1985-12-31 00:00:00,3643248,"Houston-Baytown-Sugar Land, TX"
1987-12-31 00:00:00,3641304,"Houston-Baytown-Sugar Land, TX"
1984-12-31 00:00:00,3636821,"Houston-Baytown-Sugar Land, TX"
1988-12-31 00:00:00,3631007,"Houston-Baytown-Sugar Land, TX"
1983-12-31 00:00:00,3619029,"Houston-Baytown-Sugar Land, TX"
2003-12-31 00:00:00,3611625,"Riverside-San Bernardino-Ontario, CA"
2003-12-31 00:00:00,3600163,"Phoenix-Mesa-Scottsdale, AZ"
2001-12-31 00:00:00,3591770,"Dallas-Plano-Irving, TX"
1999-12-31 00:00:00,3572867,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2018-12-31 00:00:00,3559529,"Minneapolis-St. Paul-Bloomington, MN-WI"
1995-12-31 00:00:00,3548667,"Atlanta-Sandy Springs-Marietta, GA"
2017-12-31 00:00:00,3523737,"Minneapolis-St. Paul-Bloomington, MN-WI"
1982-12-31 00:00:00,3517227,"Houston-Baytown-Sugar Land, TX"
1998-12-31 00:00:00,3514214,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2002-12-31 00:00:00,3496957,"Phoenix-Mesa-Scottsdale, AZ"
2016-12-31 00:00:00,3486572,"Minneapolis-St. Paul-Bloomington, MN-WI"
2002-12-31 00:00:00,3483348,"Riverside-San Bernardino-Ontario, CA"
2000-12-31 00:00:00,3475160,"Dallas-Plano-Irving, TX"
1997-12-31 00:00:00,3471740,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2015-12-31 00:00:00,3451394,"Minneapolis-St. Paul-Bloomington, MN-WI"
1994-12-31 00:00:00,3444861,"Atlanta-Sandy Springs-Marietta, GA"
1996-12-31 00:00:00,3430675,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2014-12-31 00:00:00,3423290,"Minneapolis-St. Paul-Bloomington, MN-WI"
1995-12-31 00:00:00,3392968,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2001-12-31 00:00:00,3388445,"Phoenix-Mesa-Scottsdale, AZ"
2013-12-31 00:00:00,3387689,"Minneapolis-St. Paul-Bloomington, MN-WI"
2001-12-31 00:00:00,3376256,"Riverside-San Bernardino-Ontario, CA"
1994-12-31 00:00:00,3363527,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2012-12-31 00:00:00,3352688,"Minneapolis-St. Paul-Bloomington, MN-WI"
2018-12-31 00:00:00,3343364,"San Diego-Carlsbad-San Marcos, CA"
1993-12-31 00:00:00,3339551,"Atlanta-Sandy Springs-Marietta, GA"
1993-12-31 00:00:00,3327128,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2017-12-31 00:00:00,3325468,"San Diego-Carlsbad-San Marcos, CA"
1981-12-31 00:00:00,3321105,"Houston-Baytown-Sugar Land, TX"
2011-12-31 00:00:00,3319513,"Minneapolis-St. Paul-Bloomington, MN-WI"
2016-12-31 00:00:00,3310280,"San Diego-Carlsbad-San Marcos, CA"
1992-12-31 00:00:00,3292801,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2015-12-31 00:00:00,3284061,"San Diego-Carlsbad-San Marcos, CA"
2010-12-31 00:00:00,3279833,"Minneapolis-St. Paul-Bloomington, MN-WI"
2000-12-31 00:00:00,3278661,"Phoenix-Mesa-Scottsdale, AZ"
2000-12-31 00:00:00,3277578,"Riverside-San Bernardino-Ontario, CA"
2009-12-31 00:00:00,3269814,"Minneapolis-St. Paul-Bloomington, MN-WI"
1991-12-31 00:00:00,3254667,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2014-12-31 00:00:00,3250993,"San Diego-Carlsbad-San Marcos, CA"
1992-12-31 00:00:00,3245141,"Atlanta-Sandy Springs-Marietta, GA"
2008-12-31 00:00:00,3237612,"Minneapolis-St. Paul-Bloomington, MN-WI"
1990-12-31 00:00:00,3219001,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
1999-12-31 00:00:00,3214610,"Dallas-Plano-Irving, TX"
2013-12-31 00:00:00,3211248,"San Diego-Carlsbad-San Marcos, CA"
